,Rank (Borda),Model,Memory Usage (MB),Number of Parameters (B),Embedding Dimensions,Max Tokens,Mean (Task)
0,1,[Octen-Embedding-8B](https://huggingface.co/bflhc/Octen-Embedding-8B),14433.0,7.567,4096.0,32768.0,74.05
1,2,[Octen-Embedding-4B](https://huggingface.co/bflhc/Octen-Embedding-4B),7671.0,4.022,2560.0,32768.0,73.25
2,3,[PIXIE-Rune-v1.0](https://huggingface.co/telepix/PIXIE-Rune-v1.0),2166.0,0.568,1024.0,6144.0,69.81
3,4,[MoD-Embedding](https://huggingface.co/bflhc/MoD-Embedding),7671.0,4.022,2560.0,32768.0,68.53
4,5,[Qwen3-Embedding-8B](https://huggingface.co/Qwen/Qwen3-Embedding-8B),14433.0,7.567,4096.0,32768.0,66.85
5,6,[Octen-Embedding-0.6B](https://huggingface.co/bflhc/Octen-Embedding-0.6B),1136.0,0.596,1024.0,32768.0,65.66
6,7,[snowflake-arctic-embed-l-v2.0](https://huggingface.co/Snowflake/snowflake-arctic-embed-l-v2.0),2166.0,0.568,1024.0,8192.0,65.48
7,8,[Euler-Legal-Embedding-V1](https://huggingface.co/Mira190/Euler-Legal-Embedding-V1),15618.0,7.567,4096.0,1536.0,64.76
8,9,[jina-embeddings-v4](https://huggingface.co/jinaai/jina-embeddings-v4),7500.0,3.935,2048.0,32768.0,63.88
9,10,[inf-retriever-v1](https://huggingface.co/infly/inf-retriever-v1),13483.0,7.069,3584.0,32768.0,63.22
10,11,[inf-retriever-v1-1.5b](https://huggingface.co/infly/inf-retriever-v1-1.5b),2944.0,1.543,1536.0,32768.0,62.08
11,12,[bge-m3-unsupervised](https://huggingface.co/BAAI/bge-m3-unsupervised),2167.0,0.568,1024.0,8192.0,60.24
12,13,[jina-embeddings-v3](https://huggingface.co/jinaai/jina-embeddings-v3),1092.0,0.572,1024.0,8194.0,59.35
13,14,[BOOM_4B_v1](https://huggingface.co/ICT-TIME-and-Querit/BOOM_4B_v1),7671.0,4.022,2560.0,32768.0,58.76
14,15,[snowflake-arctic-embed-m-v2.0](https://huggingface.co/Snowflake/snowflake-arctic-embed-m-v2.0),1165.0,0.305,768.0,8192.0,57.95
15,16,[bge-m3-custom-fr](https://huggingface.co/manu/bge-m3-custom-fr),2166.0,0.568,1024.0,8194.0,55.53
16,17,[jasper_en_vision_language_v1](https://huggingface.co/infgrad/jasper_en_vision_language_v1),3802.0,1.565,8960.0,131072.0,52.13
17,18,[multilingual-e5-large-instruct](https://huggingface.co/intfloat/multilingual-e5-large-instruct),1068.0,0.56,1024.0,514.0,51.25
18,19,[bge-m3](https://huggingface.co/BAAI/bge-m3),2167.0,0.568,1024.0,8194.0,50.36
19,20,[KaLM-embedding-multilingual-mini-instruct-v1](https://huggingface.co/HIT-TMG/KaLM-embedding-multilingual-mini-instruct-v1),1885.0,0.494,896.0,512.0,48.76
20,21,[Solon-embeddings-large-0.1](https://huggingface.co/OrdalieTech/Solon-embeddings-large-0.1),2136.0,0.56,1024.0,514.0,48.16
21,22,[bilingual-embedding-large](https://huggingface.co/Lajavaness/bilingual-embedding-large),2136.0,0.56,1024.0,514.0,48.12
22,23,[multilingual-e5-base](https://huggingface.co/intfloat/multilingual-e5-base),1061.0,0.278,768.0,514.0,47.85
23,24,[multilingual-e5-small](https://huggingface.co/intfloat/multilingual-e5-small),449.0,0.118,384.0,512.0,47.8
24,25,[gte-Qwen2-7B-instruct](https://huggingface.co/Alibaba-NLP/gte-Qwen2-7B-instruct),29040.0,7.069,3584.0,32768.0,46.1
25,26,[USER-bge-m3](https://huggingface.co/deepvk/USER-base),1370.0,0.359,1024.0,8194.0,45.86
